ICD9CM,ICD10CM,FLAG
013.86,A17.89,10000
013.90,A17.9,10000
013.91,A17.9,10000
013.92,A17.9,10000
013.93,A17.9,10000
013.94,A17.9,10000
013.95,A17.9,10000
013.96,A17.9,10000
014.00,A18.31,10000
014.01,A18.31,10000
014.02,A18.31,10000
014.03,A18.31,10000
014.04,A18.31,10000
014.05,A18.31,10000
014.06,A18.31,10000
014.80,A18.32,10000
014.80,A18.39,10000
014.81,A18.32,10000
014.81,A18.39,10000
014.82,A18.32,10000
014.82,A18.39,10000
014.83,A18.32,10000
014.83,A18.39,10000
014.84,A18.32,10000
014.84,A18.39,10000
014.85,A18.32,10000
014.85,A18.39,10000
014.86,A18.32,10000
014.86,A18.39,10000
015.00,A18.01,10000
015.01,A18.01,10000
015.02,A18.01,10000
015.03,A18.01,10000
015.04,A18.01,10000
015.05,A18.01,10000
015.06,A18.01,10000
015.10,A18.02,10000
015.11,A18.02,10000
015.12,A18.02,10000
015.13,A18.02,10000
015.14,A18.02,10000
015.15,A18.02,10000
015.16,A18.02,10000
015.20,A18.02,10000
015.21,A18.02,10000
015.22,A18.02,10000
015.23,A18.02,10000
015.24,A18.02,10000
015.25,A18.02,10000
015.26,A18.02,10000
015.50,A18.03,10000
015.51,A18.03,10000
015.52,A18.03,10000
015.53,A18.03,10000
015.54,A18.03,10000
015.55,A18.03,10000
015.56,A18.03,10000
015.60,A18.03,10000
015.61,A18.03,10000
015.62,A18.03,10000
015.63,A18.03,10000
015.64,A18.03,10000
015.65,A18.03,10000
015.66,A18.03,10000
015.70,A18.03,10000
015.71,A18.03,10000
015.72,A18.03,10000
015.73,A18.03,10000
015.74,A18.03,10000
015.75,A18.03,10000
015.76,A18.03,10000
015.80,A18.02,10000
015.81,A18.02,10000
015.82,A18.02,10000
015.83,A18.02,10000
015.84,A18.02,10000
015.85,A18.02,10000
015.86,A18.02,10000
015.90,A18.02,10000
015.90,A18.03,10000
015.91,A18.02,10000
015.91,A18.03,10000
015.92,A18.02,10000
015.92,A18.03,10000
015.93,A18.02,10000
015.93,A18.03,10000
015.94,A18.02,10000
015.94,A18.03,10000
015.95,A18.02,10000
015.95,A18.03,10000
015.96,A18.02,10000
015.96,A18.03,10000
016.00,A18.11,10000
016.01,A18.11,10000
016.02,A18.11,10000
016.03,A18.11,10000
016.04,A18.11,10000
016.05,A18.11,10000
016.06,A18.11,10000
016.10,A18.12,10000
016.11,A18.12,10000
016.12,A18.12,10000
016.13,A18.12,10000
016.14,A18.12,10000
016.15,A18.12,10000
016.16,A18.12,10000
016.20,A18.11,10000
016.21,A18.11,10000
016.22,A18.11,10000
016.23,A18.11,10000
016.24,A18.11,10000
016.25,A18.11,10000
016.26,A18.11,10000
016.30,A18.13,10000
016.31,A18.13,10000
016.32,A18.13,10000
016.33,A18.13,10000
016.34,A18.13,10000
016.35,A18.13,10000
016.36,A18.13,10000
